459:00:00,10223,2862,32
460:00:00,26314,24080,2263
461:00:00,8697,1537,7
462:00:00,15604,486,1
463:00:00,1328,962,3
464:00:00,29442,1194,5
465:00:00,345,302,0
466:00:00,5381,4608,71
467:00:00,12884,6681,155
468:00:00,15930,436,1
469:00:00,31422,1278,5
470:00:00,10592,2795,28
471:00:00,7184,3394,35
472:00:00,32704,14448,781
473:00:00,2311,590,2
474:00:00,11119,5073,87
475:00:00,7421,4342,68
476:00:00,3895,3456,41
477:00:00,12279,7929,228
478:00:00,29011,17525,1188
479:00:00,8225,7422,212
480:00:00,26217,15906,970
481:00:00,12549,385,0
482:00:00,11352,3686,45
483:00:00,12166,9404,341
484:00:00,25445,3484,42
485:00:00,28348,9614,345
486:00:00,14864,11631,517
487:00:00,3761,3307,36
488:00:00,6499,3644,45
489:00:00,27211,936,3
490:00:00,25165,1689,9
491:00:00,18551,11822,557
492:00:00,26011,23953,2272
493:00:00,12227,6581,161
494:00:00,28008,4500,69
495:00:00,8403,5838,127
496:00:00,29304,586,2
497:00:00,26425,6981,177
498:00:00,22070,9546,349
499:00:00,11847,5371,106
500:00:00,18130,2357,18
501:00:00,30595,2425,19
502:00:00,2348,646,1
503:00:00,8376,7277,200
504:00:00,19524,15467,936
505:00:00,21414,2283,16
506:00:00,3084,2829,26
507:00:00,22118,13277,684
508:00:00,19862,2742,27
509:00:00,21185,14545,801
510:00:00,6283,3512,42
511:00:00,22920,5631,115
512:00:00,21350,2206,17
513:00:00,30399,8035,246
514:00:00,28242,6367,139
515:00:00,1844,1687,9
516:00:00,11549,6660,157
517:00:00,12128,8821,289
518:00:00,29778,21220,1759
519:00:00,8522,8473,357
520:00:00,20001,2096,15
521:00:00,12118,1508,8
522:00:00,23154,4504,73
523:00:00,7535,985,5
524:00:00,364,288,0
525:00:00,9260,1484,7
526:00:00,5695,1590,8
527:00:00,9744,8576,279
528:00:00,8327,3967,58
529:00:00,11843,711,1
530:00:00,14453,3637,45
531:00:00,30766,20664,1658
532:00:00,17018,15228,927
533:00:00,14106,5556,109
534:00:00,11192,10542,412
535:00:00,31468,10932,453
536:00:00,21592,1545,7
537:00:00,31605,6670,158
538:00:00,11587,8790,307
539:00:00,21695,5575,117
540:00:00,21681,19217,1415
541:00:00,30649,4135,61
542:00:00,23196,4062,64
543:00:00,28079,18168,1281
544:00:00,12687,6674,161
545:00:00,18803,13608,695
546:00:00,29541,2054,12
547:00:00,14353,8104,236
548:00:00,32680,7064,184
549:00:00,1677,1656,18
550:00:00,13029,1698,11
551:00:00,1733,286,0
552:00:00,16472,1843,10
553:00:00,8434,5750,112
554:00:00,27126,2602,23
555:00:00,4221,4101,55
556:00:00,17655,9613,361
557:00:00,25459,4433,72
558:00:00,30602,13593,713
559:00:00,22026,9256,327
560:00:00,29440,19094,1394
561:00:00,5405,3169,35
562:00:00,26899,8066,233
563:00:00,19133,2272,16
564:00:00,13206,8721,276
565:00:00,865,374,0
566:00:00,11818,5633,115
567:00:00,31330,25250,2520
568:00:00,17710,512,0
569:00:00,657,631,1
570:00:00,29655,21670,1823
571:00:00,18052,12419,562
572:00:00,8504,2747,29
573:00:00,4493,184,0
574:00:00,22117,9308,314
575:00:00,15342,1393,6
576:00:00,14479,11352,489
577:00:00,19866,11397,496
578:00:00,23344,20508,1607
579:00:00,16703,8662,278
580:00:00,22638,2195,15
581:00:00,21531,5327,98
582:00:00,1128,140,0
583:00:00,15335,996,3
584:00:00,8438,3563,44
585:00:00,27130,202,1
586:00:00,18216,6560,162
587:00:00,21126,523,1
588:00:00,8810,814,2
589:00:00,26528,10059,389
590:00:00,15137,3667,44
591:00:00,189,35,0
592:00:00,12351,263,0
593:00:00,14326,362,1
594:00:00,10574,10269,410
595:00:00,24073,3123,30
596:00:00,24650,507,1
597:00:00,4661,2594,26
598:00:00,25618,5687,114
599:00:00,32615,20344,1635
600:00:00,23572,22915,1991
601:00:00,7843,85,0
602:00:00,22499,4032,57
603:00:00,27001,12624,622
604:00:00,16562,10709,425
605:00:00,13862,3664,44
606:00:00,4485,1784,10
607:00:00,21563,7467,204
608:00:00,15307,5545,116
609:00:00,29069,24651,2388
610:00:00,1801,1519,9
611:00:00,25867,23704,2278
612:00:00,4247,2487,21
613:00:00,5740,5037,88
614:00:00,23338,13655,728
615:00:00,32048,5333,100
616:00:00,16073,1315,5
617:00:00,1090,678,2
618:00:00,31730,435,0
619:00:00,31710,23821,2201
620:00:00,19103,7668,213
621:00:00,27038,645,1
622:00:00,3839,1180,4
623:00:00,6416,3781,48
624:00:00,1427,509,0
625:00:00,24401,15610,951
626:00:00,3980,3682,63
627:00:00,9645,3510,44
628:00:00,30367,9770,368
629:00:00,17835,14111,746
630:00:00,25257,6934,176
631:00:00,7211,1575,7
632:00:00,18110,1363,6
633:00:00,5925,5020,92
634:00:00,2578,1503,7
635:00:00,25749,3773,49
636:00:00,2952,2331,20
637:00:00,30668,29991,3580
638:00:00,6654,1783,13
639:00:00,21185,11914,528
640:00:00,9231,4790,84
641:00:00,457,404,0
642:00:00,10479,10236,410
643:00:00,23582,8343,257
644:00:00,26454,5898,124
645:00:00,32670,10505,409
646:00:00,20013,4953,93
647:00:00,24944,6528,152
648:00:00,8261,7129,180
649:00:00,30548,15672,949
650:00:00,3768,1098,4
651:00:00,17650,11956,538
652:00:00,29549,16275,1026
653:00:00,23121,7018,184
654:00:00,29841,6831,167
655:00:00,5375,4229,61
656:00:00,2659,1407,6
657:00:00,19642,7106,184
658:00:00,32272,12963,623
659:00:00,21103,13370,691
660:00:00,20884,13768,746
661:00:00,27661,1112,4
662:00:00,22436,19792,1535
663:00:00,8375,5598,113
664:00:00,22021,9359,321
665:00:00,19298,4445,74
666:00:00,23600,20544,1706
667:00:00,10558,7527,224
668:00:00,21303,9365,324
669:00:00,30153,18206,1289
670:00:00,16141,2223,16
671:00:00,8275,5304,98
672:00:00,8910,6387,146
673:00:00,12182,6315,141
674:00:00,19603,2616,24
675:00:00,20,12,0
676:00:00,4104,3523,41
677:00:00,9103,3517,46
678:00:00,22437,835,2
679:00:00,1897,749,2
680:00:00,5931,3669,47
681:00:00,2426,384,1
682:00:00,14007,4322,60
683:00:00,8214,5688,125
684:00:00,12232,5366,104
685:00:00,12095,1293,7
686:00:00,26798,14370,781
687:00:00,9436,4287,62
688:00:00,20127,16629,1066
689:00:00,29418,11369,480
690:00:00,9354,3608,45
691:00:00,14538,3186,37
692:00:00,342,26,0
693:00:00,1015,283,1
694:00:00,1409,957,3
695:00:00,5802,886,3
696:00:00,21208,10400,423
697:00:00,18250,10346,388
698:00:00,2409,1930,13
699:00:00,24831,15423,899
700:00:00,10424,6270,143
701:00:00,17714,7490,217
702:00:00,11700,2851,26
703:00:00,9569,406,1
704:00:00,272,227,0
705:00:00,29802,29313,3403
706:00:00,4209,2199,15
707:00:00,11498,1562,7
708:00:00,12673,4864,90
709:00:00,5975,2586,25
710:00:00,27611,2214,19
711:00:00,16710,1162,5
712:00:00,28812,3282,42
713:00:00,23835,7381,199
714:00:00,1709,334,0
715:00:00,6980,1930,13
716:00:00,11351,1670,8
717:00:00,8738,3093,35
718:00:00,15652,3611,43
719:00:00,31084,23167,2102
720:00:00,9522,5313,100
721:00:00,17836,1657,11
722:00:00,6498,2389,22
723:00:00,21062,16405,1059
724:00:00,11559,6932,168
725:00:00,24678,23775,2242
726:00:00,24948,16547,1066
727:00:00,21327,3997,55
728:00:00,6618,656,2
729:00:00,4278,4057,57
730:00:00,11550,9991,379
731:00:00,32187,405,0
732:00:00,14663,9370,338
733:00:00,8583,8520,289
734:00:00,14007,11045,458
735:00:00,10780,1972,13
736:00:00,31430,19459,1481
737:00:00,22707,6216,135
738:00:00,8583,2151,14
739:00:00,20008,8792,297
740:00:00,24115,5268,106
741:00:00,10748,1324,7
